state,year,month,outage_count,max_outage_duration,customer_weighted_hours
North Carolina,2019,3,199,13.5,279549.75
North Carolina,2019,4,523,36.0,2056367.0
North Carolina,2019,5,420,29.25,1000306.25
North Carolina,2019,6,661,76.25,2458089.25
North Carolina,2019,7,618,18.5,1122351.75
North Carolina,2019,8,581,29.25,1377516.5
North Carolina,2019,9,399,71.75,5467759.5
North Carolina,2019,10,365,125.5,1253344.25
North Carolina,2019,11,401,42.0,768229.75
North Carolina,2019,12,295,20.5,501882.0
North Dakota,2019,0,129,21.0,303130.0
North Dakota,2019,1,4,5.75,4175.25
North Dakota,2019,2,6,2.0,7063.75
North Dakota,2019,3,8,3.0,17025.0
North Dakota,2019,4,15,8.75,12423.25
North Dakota,2019,5,9,1.25,5536.0
North Dakota,2019,6,9,21.0,70834.5
North Dakota,2019,7,15,8.5,11903.5
North Dakota,2019,8,14,1.75,4877.25
North Dakota,2019,9,19,19.75,137953.25
North Dakota,2019,10,8,1.5,2830.75
North Dakota,2019,11,5,6.5,10381.75
North Dakota,2019,12,17,15.75,18125.75
Ohio,2019,0,6372,106.75,24682653.5
Ohio,2019,1,526,23.5,1148508.5
Ohio,2019,2,497,78.5,5462786.5
Ohio,2019,3,430,29.25,1170738.0
Ohio,2019,4,450,45.5,1095721.25
Ohio,2019,5,679,73.0,4615637.25
Ohio,2019,6,733,51.25,1864995.25
Ohio,2019,7,726,37.75,1731452.5
Ohio,2019,8,560,36.0,1836534.75
Ohio,2019,9,387,106.75,1883456.75
Ohio,2019,10,536,41.0,1191372.0
Ohio,2019,11,467,34.25,1388114.75
Ohio,2019,12,381,14.75,1293336.0
Oklahoma,2019,0,2776,99.0,8698268.5
Oklahoma,2019,1,111,33.25,151371.0
Oklahoma,2019,2,132,8.75,132552.0
Oklahoma,2019,3,196,18.75,242006.75
Oklahoma,2019,4,181,14.75,182992.0
Oklahoma,2019,5,447,90.5,1682485.25
Oklahoma,2019,6,410,58.25,1256014.0
Oklahoma,2019,7,195,21.0,266356.5
Oklahoma,2019,8,335,99.0,3489686.5
Oklahoma,2019,9,195,14.0,240875.25
Oklahoma,2019,10,242,18.25,472577.0
Oklahoma,2019,11,235,20.5,453932.25
Oklahoma,2019,12,97,28.25,127420.0
Oregon,2019,0,1352,266.0,6520448.25
Oregon,2019,1,121,23.5,531950.75
Oregon,2019,2,160,194.0,2885932.5
Oregon,2019,3,87,19.5,244849.75
Oregon,2019,4,77,8.5,136496.5
Oregon,2019,5,111,266.0,531918.5
Oregon,2019,6,107,259.5,573234.0
Oregon,2019,7,120,12.5,316480.25
Oregon,2019,8,111,14.75,250398.5
Oregon,2019,9,158,17.0,301662.5
