state,year,month,outage_count,max_outage_duration,customer_weighted_hours
Nebraska,2018,10,20,38.25,573030.5
Nebraska,2018,11,14,4.5,20188.25
Nebraska,2018,12,21,8.0,29543.5
Nevada,2018,0,723,56.75,1934534.25
Nevada,2018,1,44,8.5,66206.0
Nevada,2018,2,30,28.25,89965.25
Nevada,2018,3,69,15.0,164528.5
Nevada,2018,4,57,5.0,73845.25
Nevada,2018,5,62,7.25,87848.25
Nevada,2018,6,77,18.5,129639.75
Nevada,2018,7,120,22.75,320150.25
Nevada,2018,8,67,56.75,624134.25
Nevada,2018,9,37,3.75,77070.25
Nevada,2018,10,56,6.75,117181.5
Nevada,2018,11,52,7.25,87307.5
Nevada,2018,12,52,7.0,96657.5
New Hampshire,2018,0,962,79.0,3870350.5
New Hampshire,2018,1,45,5.5,26071.5
New Hampshire,2018,2,38,6.5,29754.25
New Hampshire,2018,3,68,79.0,932127.0
New Hampshire,2018,4,79,28.0,495783.75
New Hampshire,2018,5,72,43.25,416149.0
New Hampshire,2018,6,69,27.75,581608.5
New Hampshire,2018,7,113,12.75,164324.5
New Hampshire,2018,8,97,9.75,130132.5
New Hampshire,2018,9,56,4.5,41273.25
New Hampshire,2018,10,124,11.75,143485.25
New Hampshire,2018,11,161,47.5,876393.75
New Hampshire,2018,12,40,14.0,33247.25
New Jersey,2018,0,4658,165.75,35320874.75
New Jersey,2018,1,364,15.25,770955.75
New Jersey,2018,2,234,8.0,235129.0
New Jersey,2018,3,449,165.75,25825719.0
New Jersey,2018,4,358,70.25,712061.0
New Jersey,2018,5,432,96.5,2944999.25
New Jersey,2018,6,390,11.25,497353.25
New Jersey,2018,7,543,22.75,1338584.0
New Jersey,2018,8,514,27.75,866554.5
New Jersey,2018,9,406,18.75,553220.0
New Jersey,2018,10,378,18.0,577965.25
New Jersey,2018,11,350,20.5,594471.25
New Jersey,2018,12,240,9.75,403862.5
New Mexico,2018,0,703,54.75,1395062.75
New Mexico,2018,1,32,11.25,56994.25
New Mexico,2018,2,28,13.0,45098.25
New Mexico,2018,3,34,9.5,89215.75
New Mexico,2018,4,39,13.75,78857.5
New Mexico,2018,5,61,12.25,130165.75
New Mexico,2018,6,79,54.75,124393.25
New Mexico,2018,7,130,21.25,312758.75
New Mexico,2018,8,98,9.0,201134.75
New Mexico,2018,9,58,20.75,77640.25
New Mexico,2018,10,66,9.75,108089.5
New Mexico,2018,11,41,12.5,63033.75
New Mexico,2018,12,37,14.5,107681.0
New York,2018,0,6763,147.25,50527197.5
New York,2018,1,492,49.75,771952.5
New York,2018,2,317,32.25,373606.5
New York,2018,3,603,147.25,24928554.25
New York,2018,4,519,83.75,4264637.75
New York,2018,5,588,143.25,11758841.75
New York,2018,6,631,23.25,991449.75
New York,2018,7,971,25.5,2519935.75
New York,2018,8,640,38.25,1431875.5
New York,2018,9,441,20.25,686596.0
New York,2018,10,572,30.5,958717.25
New York,2018,11,685,34.25,1381735.75
New York,2018,12,304,14.75,459294.75
North Carolina,2018,0,5825,252.5,96987415.75
North Carolina,2018,1,647,15.75,1267999.75
North Carolina,2018,2,224,18.25,307061.0
North Carolina,2018,3,341,35.75,1066129.75
North Carolina,2018,4,402,99.25,2073166.25
North Carolina,2018,5,480,50.5,1017518.25
North Carolina,2018,6,673,36.5,1478665.25
North Carolina,2018,7,574,28.25,1164903.5
North Carolina,2018,8,579,43.75,1304958.25
North Carolina,2018,9,642,252.5,56313822.0
North Carolina,2018,10,521,126.75,22660245.75
North Carolina,2018,11,348,62.5,1552386.5
North Carolina,2018,12,394,100.25,6780559.5
North Dakota,2018,0,126,13.5,161400.25
North Dakota,2018,1,1,1.0,462.0
North Dakota,2018,2,5,2.0,2717.75
North Dakota,2018,3,13,3.25,6328.0
North Dakota,2018,4,3,6.25,3942.0
North Dakota,2018,5,1,2.0,1168.0
North Dakota,2018,6,38,8.0,43655.25
North Dakota,2018,7,24,13.5,69783.75
North Dakota,2018,8,18,4.0,17622.5
North Dakota,2018,9,11,5.25,7877.0
North Dakota,2018,10,8,8.25,5270.0
North Dakota,2018,11,2,1.0,976.25
North Dakota,2018,12,2,3.25,1597.75
Ohio,2018,0,6161,82.0,18864690.5
Ohio,2018,1,453,16.75,964043.25
Ohio,2018,2,393,38.5,914285.25
Ohio,2018,3,343,61.25,2611269.5
Ohio,2018,4,477,39.0,1158433.5
Ohio,2018,5,701,34.75,1848770.75
Ohio,2018,6,659,27.25,1211142.25
Ohio,2018,7,618,36.0,1348498.75
Ohio,2018,8,554,31.75,1110114.0
Ohio,2018,9,623,35.25,1507786.5
Ohio,2018,10,504,53.75,1858135.25
Ohio,2018,11,544,82.0,3865746.0
Ohio,2018,12,292,17.0,466465.5
Oklahoma,2018,0,2480,134.25,4300162.75
Oklahoma,2018,1,133,8.75,107205.5
Oklahoma,2018,2,170,72.5,373443.75
Oklahoma,2018,3,123,8.5,121353.75
Oklahoma,2018,4,163,134.25,352485.75
Oklahoma,2018,5,338,20.0,534660.0
Oklahoma,2018,6,399,47.75,1054287.75
Oklahoma,2018,7,283,19.5,509642.5
Oklahoma,2018,8,264,19.5,352210.5
Oklahoma,2018,9,134,8.0,141498.25
Oklahoma,2018,10,172,11.25,185674.5
Oklahoma,2018,11,123,11.25,132425.25
Oklahoma,2018,12,178,91.5,435275.25
Oregon,2018,0,1159,30.75,3087579.25
Oregon,2018,1,91,30.75,131154.0
Oregon,2018,2,78,15.0,221735.5
Oregon,2018,3,72,18.25,186963.25
Oregon,2018,4,102,17.0,200958.75
Oregon,2018,5,64,21.0,212167.5
Oregon,2018,6,109,19.75,348476.5
Oregon,2018,7,128,14.5,327536.25
Oregon,2018,8,108,30.0,249197.25
Oregon,2018,9,75,21.0,132290.0
Oregon,2018,10,109,15.75,198019.25
Oregon,2018,11,106,12.75,308027.0
Oregon,2018,12,117,30.0,571054.0
Pennsylvania,2018,0,7542,140.5,46640510.25
Pennsylvania,2018,1,562,64.25,710317.25
Pennsylvania,2018,2,404,25.25,475932.75
Pennsylvania,2018,3,536,140.5,28965544.5
Pennsylvania,2018,4,661,28.75,1405401.5
Pennsylvania,2018,5,698,96.25,3760501.5
Pennsylvania,2018,6,788,19.75,1114638.5
Pennsylvania,2018,7,915,45.25,2352787.5
Pennsylvania,2018,8,766,51.75,1176515.0
Pennsylvania,2018,9,700,57.0,1382137.0
Pennsylvania,2018,10,565,31.0,804432.0
Pennsylvania,2018,11,553,124.75,4071386.5
Pennsylvania,2018,12,394,15.0,420916.25
Rhode Island,2018,0,340,83.25,5865695.25
Rhode Island,2018,1,23,5.0,22016.75
Rhode Island,2018,2,21,3.75,26352.0
Rhode Island,2018,3,36,83.25,5402544.25
Rhode Island,2018,4,14,7.5,47245.0
Rhode Island,2018,5,24,4.25,27213.5
Rhode Island,2018,6,34,7.25,39593.75
Rhode Island,2018,7,33,4.75,34695.25
Rhode Island,2018,8,32,8.0,99410.75
Rhode Island,2018,9,36,7.5,32793.25
Rhode Island,2018,10,35,10.25,57986.5
Rhode Island,2018,11,21,5.25,26844.0
Rhode Island,2018,12,31,8.5,49000.25
